"100.N.60min.1.bam" "100.N.60min.2.bam" "100.N.60min.3.bam" "500.N.10min.1.bam" "500.N.10min.2.bam" "500.N.10min.3.bam" "500.N.20min.1.bam" "500.N.20min.2.bam" "500.N.20min.3.bam" "500.N.60min.1.bam" "500.N.60min.2.bam" "500.N.60min.3.bam"
"STM14_0361" 2 3 11 0 0 0 2 0 1 9 21 20
"STM14_0362" 430 412 528 37 15 34 62 33 102 308 289 352
"STM14_0363" 409 333 485 68 25 109 119 65 203 680 727 825
"STM14_0364" 425 539 654 84 16 83 114 57 142 484 494 579
"STM14_0365" 2807 3383 3296 36 23 77 134 55 191 5186 5780 5832
"STM14_0366" 2216 2321 2782 345 85 284 345 220 431 2385 2351 2700
"STM14_0367" 1051 1159 1390 179 31 107 153 89 201 1463 1544 1739
"STM14_0368" 598 642 664 77 23 54 46 33 61 629 711 709
"STM14_0369" 248 267 300 45 7 29 49 26 58 537 635 788
"STM14_0370" 101 108 127 14 4 5 5 9 15 297 497 477
"STM14_0371" 72 76 84 14 0 8 13 6 10 154 197 202
"STM14_0372" 9433 10298 11246 1321 339 1358 1707 839 1622 6789 5976 7031
"STM14_0373" 1245 1329 1363 459 67 201 256 179 220 857 736 842
"STM14_0374" 4479 4467 5174 712 132 409 767 464 860 4436 3944 4346
"STM14_0375" 5517 5666 6787 810 216 692 1154 645 1587 5102 4342 5184
"STM14_0376" 248 227 305 36 13 16 43 40 60 470 622 877
"STM14_0377" 4 9 7 1 1 0 2 3 0 5 21 23
"STM14_0378" 586 657 716 120 18 84 117 64 116 558 643 717
"STM14_0379" 516 498 594 100 22 118 103 59 97 429 423 482
"STM14_0381" 55 56 57 8 3 3 9 3 9 324 862 940
"STM14_0382" 10 11 24 4 1 2 4 2 5 134 306 319
"STM14_0383" 624 874 942 103 37 181 199 59 257 727 982 1399
"STM14_0384" 28 27 48 8 3 12 7 2 8 204 506 554
"STM14_0385" 54 60 55 11 3 9 14 7 14 179 393 352
"STM14_0386" 28 27 20 3 1 5 4 3 11 53 125 145
"STM14_0387" 32 39 49 10 1 6 8 3 6 76 167 195
"STM14_0388" 97 100 132 12 2 13 15 11 15 147 240 260
"STM14_0389" 138 176 219 31 3 13 19 19 26 162 230 312
"STM14_0390" 11 13 17 3 1 4 2 0 2 24 39 41
